 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   3.0000000000000000E-009
 steps=      3000000
 x0=   7.4770000000000003E-002    3.077500000000000      
    6.411400000000000     
 u=    8000.000000000000     
 v_perp=    20000.00000000000     
 
time(s)         r       z        zeta      s
    1.7697000000E-05    1.3022304256E+00   -6.8539452983E-02    6.5155778178E+00    7.4735958355E-02
    1.7997000000E-05    1.3020837661E+00   -6.8986837472E-02    6.5173466705E+00    7.4735248001E-02
    1.8297000000E-05    1.3019361191E+00   -6.9433866627E-02    6.5191156346E+00    7.4734533207E-02
    1.8597000000E-05    1.3017874858E+00   -6.9880538168E-02    6.5208847109E+00    7.4733813975E-02
    1.8897000000E-05    1.3016378673E+00   -7.0326849824E-02    6.5226539002E+00    7.4733090304E-02
    1.9197000000E-05    1.3014872650E+00   -7.0772799328E-02    6.5244232035E+00    7.4732362194E-02
    1.9497000000E-05    1.3013356799E+00   -7.1218384417E-02    6.5261926215E+00    7.4731629647E-02
    1.9797000000E-05    1.3011831133E+00   -7.1663602833E-02    6.5279621550E+00    7.4730892662E-02
    2.0097000000E-05    1.3010295665E+00   -7.2108452326E-02    6.5297318050E+00    7.4730151239E-02
    2.0397000000E-05    1.3008750406E+00   -7.2552930647E-02    6.5315015722E+00    7.4729405380E-02
    2.0697000000E-05    1.3007195369E+00   -7.2997035554E-02    6.5332714576E+00    7.4728655084E-02
    2.0997000000E-05    1.3005630567E+00   -7.3440764811E-02    6.5350414618E+00    7.4727900351E-02
    2.1297000000E-05    1.3004056012E+00   -7.3884116187E-02    6.5368115859E+00    7.4727141183E-02
    2.1597000000E-05    1.3002471716E+00   -7.4327087455E-02    6.5385818305E+00    7.4726377579E-02
    2.1897000000E-05    1.3000877693E+00   -7.4769676394E-02    6.5403521967E+00    7.4725609540E-02
    2.2197000000E-05    1.2999273955E+00   -7.5211880788E-02    6.5421226851E+00    7.4724837067E-02
    2.2497000000E-05    1.2997660515E+00   -7.5653698426E-02    6.5438932966E+00    7.4724060159E-02
    2.2797000000E-05    1.2996037386E+00   -7.6095127105E-02    6.5456640322E+00    7.4723278817E-02
    2.3097000000E-05    1.2994404580E+00   -7.6536164623E-02    6.5474348925E+00    7.4722493041E-02
    2.3397000000E-05    1.2992762111E+00   -7.6976808786E-02    6.5492058785E+00    7.4721702833E-02
    2.3697000000E-05    1.2991109992E+00   -7.7417057405E-02    6.5509769911E+00    7.4720908192E-02
    2.3997000000E-05    1.2989448236E+00   -7.7856908297E-02    6.5527482309E+00    7.4720109118E-02
    2.4297000000E-05    1.2987776856E+00   -7.8296359284E-02    6.5545195989E+00    7.4719305613E-02
    2.4597000000E-05    1.2986095866E+00   -7.8735408192E-02    6.5562910959E+00    7.4718497677E-02
    2.4897000000E-05    1.2984405279E+00   -7.9174052855E-02    6.5580627228E+00    7.4717685310E-02
    2.5197000000E-05    1.2982705108E+00   -7.9612291111E-02    6.5598344804E+00    7.4716868512E-02
    2.5497000000E-05    1.2980995367E+00   -8.0050120803E-02    6.5616063695E+00    7.4716047285E-02
    2.5797000000E-05    1.2979276069E+00   -8.0487539781E-02    6.5633783910E+00    7.4715221628E-02
    2.6097000000E-05    1.2977547228E+00   -8.0924545900E-02    6.5651505456E+00    7.4714391543E-02
    2.6397000000E-05    1.2975808858E+00   -8.1361137021E-02    6.5669228343E+00    7.4713557029E-02
    2.6697000000E-05    1.2974060972E+00   -8.1797311009E-02    6.5686952579E+00    7.4712718087E-02
    2.6997000000E-05    1.2972303585E+00   -8.2233065737E-02    6.5704678173E+00    7.4711874718E-02
    2.7297000000E-05    1.2970536709E+00   -8.2668399082E-02    6.5722405131E+00    7.4711026922E-02
    2.7597000000E-05    1.2968760360E+00   -8.3103308928E-02    6.5740133464E+00    7.4710174700E-02
    2.7897000000E-05    1.2966974551E+00   -8.3537793162E-02    6.5757863179E+00    7.4709318052E-02
    2.8197000000E-05    1.2965179297E+00   -8.3971849681E-02    6.5775594285E+00    7.4708456980E-02
    2.8497000000E-05    1.2963374610E+00   -8.4405476384E-02    6.5793326790E+00    7.4707591482E-02
    2.8797000000E-05    1.2961560507E+00   -8.4838671177E-02    6.5811060702E+00    7.4706721561E-02
    2.9097000000E-05    1.2959737000E+00   -8.5271431973E-02    6.5828796031E+00    7.4705847217E-02
    2.9397000000E-05    1.2957904104E+00   -8.5703756690E-02    6.5846532783E+00    7.4704968450E-02
    2.9697000000E-05    1.2956061835E+00   -8.6135643250E-02    6.5864270968E+00    7.4704085261E-02
    2.9997000000E-05    1.2954210205E+00   -8.6567089583E-02    6.5882010594E+00    7.4703197650E-02
    3.0297000000E-05    1.2952349230E+00   -8.6998093626E-02    6.5899751669E+00    7.4702305619E-02
    3.0597000000E-05    1.2950478924E+00   -8.7428653318E-02    6.5917494202E+00    7.4701409167E-02
    3.0897000000E-05    1.2948599302E+00   -8.7858766608E-02    6.5935238201E+00    7.4700508296E-02
