 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   2.0000000000000001E-009
 steps=      2000000
 x0=   7.4770000000000003E-002    3.077500000000000      
    6.411400000000000     
 u=    4000.000000000000     
 v_perp=    20000.00000000000     
 
time(s)         r       z        zeta      s
    5.8980000000E-06    1.3082063998E+00   -4.6078283298E-02    6.4287514858E+00    7.4762485932E-02
    5.9980000000E-06    1.3081904699E+00   -4.6153930112E-02    6.4290456314E+00    7.4762352656E-02
    6.0980000000E-06    1.3081745119E+00   -4.6229569538E-02    6.4293397754E+00    7.4762219185E-02
    6.1980000000E-06    1.3081585257E+00   -4.6305201566E-02    6.4296339179E+00    7.4762085517E-02
    6.2980000000E-06    1.3081425113E+00   -4.6380826181E-02    6.4299280587E+00    7.4761951654E-02
    6.3980000000E-06    1.3081264689E+00   -4.6456443373E-02    6.4302221979E+00    7.4761817594E-02
    6.4980000000E-06    1.3081103982E+00   -4.6532053129E-02    6.4305163355E+00    7.4761683339E-02
    6.5980000000E-06    1.3080942995E+00   -4.6607655436E-02    6.4308104715E+00    7.4761548888E-02
    6.6980000000E-06    1.3080781727E+00   -4.6683250281E-02    6.4311046058E+00    7.4761414241E-02
    6.7980000000E-06    1.3080620177E+00   -4.6758837653E-02    6.4313987386E+00    7.4761279399E-02
    6.8980000000E-06    1.3080458346E+00   -4.6834417539E-02    6.4316928698E+00    7.4761144360E-02
    6.9980000000E-06    1.3080296234E+00   -4.6909989927E-02    6.4319869993E+00    7.4761009126E-02
    7.0980000000E-06    1.3080133841E+00   -4.6985554803E-02    6.4322811273E+00    7.4760873696E-02
    7.1980000000E-06    1.3079971168E+00   -4.7061112157E-02    6.4325752536E+00    7.4760738070E-02
    7.2980000000E-06    1.3079808213E+00   -4.7136661975E-02    6.4328693783E+00    7.4760602248E-02
    7.3980000000E-06    1.3079644977E+00   -4.7212204245E-02    6.4331635014E+00    7.4760466230E-02
    7.4980000000E-06    1.3079481461E+00   -4.7287738955E-02    6.4334576229E+00    7.4760330017E-02
    7.5980000000E-06    1.3079317664E+00   -4.7363266093E-02    6.4337517427E+00    7.4760193608E-02
    7.6980000000E-06    1.3079153586E+00   -4.7438785645E-02    6.4340458610E+00    7.4760057003E-02
    7.7980000000E-06    1.3078989227E+00   -4.7514297600E-02    6.4343399776E+00    7.4759920202E-02
    7.8980000000E-06    1.3078824588E+00   -4.7589801945E-02    6.4346340925E+00    7.4759783205E-02
    7.9980000000E-06    1.3078659668E+00   -4.7665298669E-02    6.4349282059E+00    7.4759646013E-02
    8.0980000000E-06    1.3078494468E+00   -4.7740787757E-02    6.4352223176E+00    7.4759508624E-02
    8.1980000000E-06    1.3078328987E+00   -4.7816269200E-02    6.4355164277E+00    7.4759371040E-02
    8.2980000000E-06    1.3078163226E+00   -4.7891742983E-02    6.4358105362E+00    7.4759233261E-02
    8.3980000000E-06    1.3077997184E+00   -4.7967209094E-02    6.4361046430E+00    7.4759095285E-02
    8.4980000000E-06    1.3077830863E+00   -4.8042667522E-02    6.4363987482E+00    7.4758957114E-02
    8.5980000000E-06    1.3077664261E+00   -4.8118118254E-02    6.4366928518E+00    7.4758818746E-02
    8.6980000000E-06    1.3077497378E+00   -4.8193561277E-02    6.4369869537E+00    7.4758680183E-02
    8.7980000000E-06    1.3077330216E+00   -4.8268996580E-02    6.4372810540E+00    7.4758541425E-02
    8.8980000000E-06    1.3077162773E+00   -4.8344424150E-02    6.4375751527E+00    7.4758402470E-02
    8.9980000000E-06    1.3076995051E+00   -4.8419843974E-02    6.4378692497E+00    7.4758263320E-02
    9.0980000000E-06    1.3076827048E+00   -4.8495256041E-02    6.4381633451E+00    7.4758123974E-02
    9.1980000000E-06    1.3076658766E+00   -4.8570660337E-02    6.4384574388E+00    7.4757984432E-02
    9.2980000000E-06    1.3076490203E+00   -4.8646056852E-02    6.4387515309E+00    7.4757844694E-02
    9.3980000000E-06    1.3076321361E+00   -4.8721445572E-02    6.4390456213E+00    7.4757704761E-02
    9.4980000000E-06    1.3076152239E+00   -4.8796826485E-02    6.4393397101E+00    7.4757564632E-02
    9.5980000000E-06    1.3075982837E+00   -4.8872199579E-02    6.4396337972E+00    7.4757424307E-02
    9.6980000000E-06    1.3075813156E+00   -4.8947564842E-02    6.4399278827E+00    7.4757283786E-02
    9.7980000000E-06    1.3075643195E+00   -4.9022922261E-02    6.4402219666E+00    7.4757143070E-02
    9.8980000000E-06    1.3075472954E+00   -4.9098271824E-02    6.4405160488E+00    7.4757002158E-02
    9.9980000000E-06    1.3075302434E+00   -4.9173613519E-02    6.4408101293E+00    7.4756861050E-02
    1.0098000000E-05    1.3075131634E+00   -4.9248947333E-02    6.4411042082E+00    7.4756719747E-02
    1.0198000000E-05    1.3074960555E+00   -4.9324273255E-02    6.4413982854E+00    7.4756578247E-02
    1.0298000000E-05    1.3074789196E+00   -4.9399591271E-02    6.4416923609E+00    7.4756436552E-02
