 sig=    1.000000000000000     
 dt=   2.0000000000000001E-009
 steps=      5000000
 x0=   0.1711000000000000         0.000000000000000      
    0.000000000000000     
 u=    85000.00000000000     
 v_perp=    500000.0000000000     
 
time(s)         r       z        zeta      s
    5.1980000000E-06    1.3730940148E+00   -4.7036003324E-02    3.1699903218E-01    1.7036204126E-01
    5.2980000000E-06    1.3727250242E+00   -4.7893351321E-02    3.2307812224E-01    1.7033349759E-01
    5.3980000000E-06    1.3723496280E+00   -4.8748055924E-02    3.2915609867E-01    1.7030441943E-01
    5.4980000000E-06    1.3719678602E+00   -4.9600073959E-02    3.3523293993E-01    1.7027480729E-01
    5.5980000000E-06    1.3715797556E+00   -5.0449362595E-02    3.4130862443E-01    1.7024466171E-01
    5.6980000000E-06    1.3711853491E+00   -5.1295879347E-02    3.4738313056E-01    1.7021398323E-01
    5.7980000000E-06    1.3707846763E+00   -5.2139582082E-02    3.5345643665E-01    1.7018277241E-01
    5.8980000000E-06    1.3703777734E+00   -5.2980429020E-02    3.5952852103E-01    1.7015102980E-01
    5.9980000000E-06    1.3699646770E+00   -5.3818378738E-02    3.6559936195E-01    1.7011875600E-01
    6.0980000000E-06    1.3695454241E+00   -5.4653390174E-02    3.7166893767E-01    1.7008595157E-01
    6.1980000000E-06    1.3691200523E+00   -5.5485422630E-02    3.7773722636E-01    1.7005261711E-01
    6.2980000000E-06    1.3686885996E+00   -5.6314435772E-02    3.8380420621E-01    1.7001875322E-01
    6.3980000000E-06    1.3682511045E+00   -5.7140389638E-02    3.8986985531E-01    1.6998436053E-01
    6.4980000000E-06    1.3678076060E+00   -5.7963244637E-02    3.9593415176E-01    1.6994943965E-01
    6.5980000000E-06    1.3673581435E+00   -5.8782961553E-02    4.0199707358E-01    1.6991399122E-01
    6.6980000000E-06    1.3669027569E+00   -5.9599501547E-02    4.0805859877E-01    1.6987801587E-01
    6.7980000000E-06    1.3664414864E+00   -6.0412826160E-02    4.1411870529E-01    1.6984151428E-01
    6.8980000000E-06    1.3659743729E+00   -6.1222897315E-02    4.2017737105E-01    1.6980448710E-01
    6.9980000000E-06    1.3655014575E+00   -6.2029677321E-02    4.2623457390E-01    1.6976693500E-01
    7.0980000000E-06    1.3650227818E+00   -6.2833128872E-02    4.3229029168E-01    1.6972885868E-01
    7.1980000000E-06    1.3645383878E+00   -6.3633215050E-02    4.3834450216E-01    1.6969025883E-01
    7.2980000000E-06    1.3640483179E+00   -6.4429899331E-02    4.4439718308E-01    1.6965113616E-01
    7.3980000000E-06    1.3635526151E+00   -6.5223145581E-02    4.5044831212E-01    1.6961149138E-01
    7.4980000000E-06    1.3630513224E+00   -6.6012918060E-02    4.5649786692E-01    1.6957132523E-01
    7.5980000000E-06    1.3625444835E+00   -6.6799181428E-02    4.6254582507E-01    1.6953063844E-01
    7.6980000000E-06    1.3620321425E+00   -6.7581900737E-02    4.6859216413E-01    1.6948943177E-01
    7.7980000000E-06    1.3615143436E+00   -6.8361041441E-02    4.7463686160E-01    1.6944770597E-01
    7.8980000000E-06    1.3609911317E+00   -6.9136569397E-02    4.8067989492E-01    1.6940546183E-01
    7.9980000000E-06    1.3604625518E+00   -6.9908450859E-02    4.8672124151E-01    1.6936270011E-01
    8.0980000000E-06    1.3599286495E+00   -7.0676652489E-02    4.9276087871E-01    1.6931942163E-01
    8.1980000000E-06    1.3593894704E+00   -7.1441141350E-02    4.9879878384E-01    1.6927562717E-01
    8.2980000000E-06    1.3588450609E+00   -7.2201884915E-02    5.0483493415E-01    1.6923131757E-01
    8.3980000000E-06    1.3582954673E+00   -7.2958851060E-02    5.1086930686E-01    1.6918649364E-01
    8.4980000000E-06    1.3577407365E+00   -7.3712008071E-02    5.1690187911E-01    1.6914115624E-01
    8.5980000000E-06    1.3571809157E+00   -7.4461324641E-02    5.2293262802E-01    1.6909530620E-01
    8.6980000000E-06    1.3566160522E+00   -7.5206769873E-02    5.2896153065E-01    1.6904894440E-01
