 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   1.0000000000000001E-009
 steps=      5000000
 x0=   7.4800000000000005E-002    3.080000000000000      
    6.410000000000000     
 u=    2000.000000000000     
 v_perp=    200.0000000000000     
 
time(s)         r       z        zeta      s
    2.9499000000E-05    1.3068516700E+00   -5.1996971835E-02    6.4533241415E+00    7.4799272177E-02
    2.9999000000E-05    1.3068052708E+00   -5.2193015395E-02    6.4540590942E+00    7.4799258362E-02
    3.0499000000E-05    1.3067586889E+00   -5.2389013405E-02    6.4547940695E+00    7.4799244497E-02
    3.0999000000E-05    1.3067119244E+00   -5.2584965690E-02    6.4555290675E+00    7.4799230584E-02
    3.1499000000E-05    1.3066649772E+00   -5.2780872073E-02    6.4562640881E+00    7.4799216621E-02
    3.1999000000E-05    1.3066178475E+00   -5.2976732378E-02    6.4569991316E+00    7.4799202608E-02
    3.2499000000E-05    1.3065705352E+00   -5.3172546427E-02    6.4577341980E+00    7.4799188547E-02
    3.2999000000E-05    1.3065230406E+00   -5.3368314047E-02    6.4584692874E+00    7.4799174436E-02
    3.3499000000E-05    1.3064753635E+00   -5.3564035059E-02    6.4592043998E+00    7.4799160276E-02
    3.3999000000E-05    1.3064275042E+00   -5.3759709289E-02    6.4599395355E+00    7.4799146066E-02
    3.4499000000E-05    1.3063794626E+00   -5.3955336561E-02    6.4606746944E+00    7.4799131807E-02
    3.4999000000E-05    1.3063312388E+00   -5.4150916699E-02    6.4614098767E+00    7.4799117499E-02
    3.5499000000E-05    1.3062828329E+00   -5.4346449527E-02    6.4621450824E+00    7.4799103142E-02
    3.5999000000E-05    1.3062342449E+00   -5.4541934870E-02    6.4628803117E+00    7.4799088735E-02
    3.6499000000E-05    1.3061854750E+00   -5.4737372553E-02    6.4636155646E+00    7.4799074279E-02
    3.6999000000E-05    1.3061365230E+00   -5.4932762401E-02    6.4643508413E+00    7.4799059773E-02
    3.7499000000E-05    1.3060873893E+00   -5.5128104237E-02    6.4650861417E+00    7.4799045219E-02
    3.7999000000E-05    1.3060380737E+00   -5.5323397888E-02    6.4658214661E+00    7.4799030615E-02
    3.8499000000E-05    1.3059885763E+00   -5.5518643179E-02    6.4665568145E+00    7.4799015961E-02
    3.8999000000E-05    1.3059388973E+00   -5.5713839934E-02    6.4672921870E+00    7.4799001259E-02
    3.9499000000E-05    1.3058890366E+00   -5.5908987978E-02    6.4680275836E+00    7.4798986507E-02
    3.9999000000E-05    1.3058389944E+00   -5.6104087138E-02    6.4687630046E+00    7.4798971705E-02
    4.0499000000E-05    1.3057887707E+00   -5.6299137238E-02    6.4694984499E+00    7.4798956855E-02
    4.0999000000E-05    1.3057383655E+00   -5.6494138105E-02    6.4702339197E+00    7.4798941955E-02
    4.1499000000E-05    1.3056877790E+00   -5.6689089564E-02    6.4709694140E+00    7.4798927006E-02
    4.1999000000E-05    1.3056370112E+00   -5.6883991441E-02    6.4717049330E+00    7.4798912007E-02
    4.2499000000E-05    1.3055860621E+00   -5.7078843561E-02    6.4724404767E+00    7.4798896959E-02
    4.2999000000E-05    1.3055349319E+00   -5.7273645752E-02    6.4731760453E+00    7.4798881862E-02
    4.3499000000E-05    1.3054836206E+00   -5.7468397838E-02    6.4739116387E+00    7.4798866716E-02
    4.3999000000E-05    1.3054321282E+00   -5.7663099647E-02    6.4746472572E+00    7.4798851520E-02
    4.4499000000E-05    1.3053804549E+00   -5.7857751005E-02    6.4753829008E+00    7.4798836275E-02
    4.4999000000E-05    1.3053286006E+00   -5.8052351738E-02    6.4761185696E+00    7.4798820980E-02
    4.5499000000E-05    1.3052765655E+00   -5.8246901672E-02    6.4768542636E+00    7.4798805637E-02
    4.5999000000E-05    1.3052243497E+00   -5.8441400635E-02    6.4775899831E+00    7.4798790243E-02
    4.6499000000E-05    1.3051719531E+00   -5.8635848454E-02    6.4783257280E+00    7.4798774801E-02
    4.6999000000E-05    1.3051193759E+00   -5.8830244954E-02    6.4790614984E+00    7.4798759309E-02
    4.7499000000E-05    1.3050666181E+00   -5.9024589965E-02    6.4797972945E+00    7.4798743768E-02
    4.7999000000E-05    1.3050136798E+00   -5.9218883311E-02    6.4805331164E+00    7.4798728178E-02
